medicament,allergen
PENICILLIN G BENZATHINE,PENICILLIN
ESTRADIOL,IODINE
PROPRANOLOL HYDROCHLORIDE,CALCIUM
PROPRANOLOL HYDROCHLORIDE,LIDOCAINE
DICYCLOMINE HYDROCHLORIDE,NITRITES
DICYCLOMINE HYDROCHLORIDE,HISTAMINE
DICYCLOMINE HYDROCHLORIDE,NITRATES
ENOXAPARIN SODIUM,SALICYLIC ACID
ENOXAPARIN SODIUM,SALICYLATES
CYCLOBENZAPRINE HYDROCHLORIDE,TRAMADOL
PANTOPRAZOLE SODIUM,PHENOL
CHENODIOL,ALUMINUM
CHENODIOL,TYRAMINE
ATORVASTATIN FILM COATED,CALCIUM
ATORVASTATIN FILM COATED,CLARITHROMYCIN
ATORVASTATIN FILM COATED,ERYTHROMYCIN
POMALIDOMIDE,CIPROFLOXACIN
BETAMETHASONE SODIUM PHOSPHATE AND BETAMETHASONE ACETATE,SALICYLATES
BETAMETHASONE SODIUM PHOSPHATE AND BETAMETHASONE ACETATE,TYRAMINE
BETAMETHASONE SODIUM PHOSPHATE AND BETAMETHASONE ACETATE,ASPIRIN
ESMOLOL HYDROCHLORIDE,CALCIUM
FLUDARABINE PHOSPHATE,PHOSPHATE
SODIUM CHLORIDE CALCIUM CHLORIDE AND POTASSIUM CHLORIDE,CALCIUM
EPINEPHRINE,HISTAMINE
EPINEPHRINE,NITRATES
VENLAFAXINE,ASPIRIN
VENLAFAXINE,ETHANOL
OLMESARTAN MEDOXOMIL HYDROCHLOROTHIAZIDE,TYRAMINE
SUCCINYLCHOLINE CHLORIDE,CARBONATE
SUCCINYLCHOLINE CHLORIDE,LIDOCAINE
SUCCINYLCHOLINE CHLORIDE,PENICILLIN
PENTAZOCINE HYDROCHLORIDE AND NALOXONE HYDROCHLORIDE,TRAMADOL
PENTAZOCINE HYDROCHLORIDE AND NALOXONE HYDROCHLORIDE,BUPRENORPHINE
SERTRALINE HYDROCHLORIDE,AMPHETAMINES
SERTRALINE HYDROCHLORIDE,HEPARIN
SERTRALINE HYDROCHLORIDE,ERYTHROMYCIN
ROCURONIUM BROMIDE,CARBONATE
ROCURONIUM BROMIDE,TETRACYCLINES
ROCURONIUM BROMIDE,VANCOMYCIN
NABUMETONE,ALUMINUM
NABUMETONE,ASPIRIN
METOPROLOL SUCCINATE ER TABLETS,CALCIUM
TRETINOIN,SALICYLIC ACID
TRETINOIN,RESORCINOL
FUROSEMIDE,SALICYLIC ACID
FUROSEMIDE,SALICYLATES
HYDROCHLOROTHIAZIDE,TYRAMINE
ESMOLOL HYDROCHLORIDE IN SODIUM CHLORIDE,CALCIUM
ESMOLOL HYDROCHLORIDE IN SODIUM CHLORIDE,SODIUM CHLORIDE
GABAPENTIN,SALICYLIC ACID
GABAPENTIN,MORPHINE
GABAPENTIN,ALUMINUM
GABAPENTIN,NAPROXEN
GABAPENTIN,BUPRENORPHINE
TIZANIDINE,CIPROFLOXACIN
